,count,mean,std,min,25%,50%,75%,max,corpus wise
AvgFan,2.0,2.04,0.13,1.95,1.99,2.04,2.09,2.13,2.03
MaxFan,2.0,12.0,1.41,11.0,11.5,12.0,12.5,13.0,13.0
AvgMaxDepth,2.0,4.12,0.52,3.75,3.94,4.12,4.31,4.49,4.16
AvgDepDist,2.0,2.09,0.15,1.98,2.04,2.09,2.14,2.19,2.1
MaxDepDist,2.0,6.07,0.15,5.96,6.02,6.07,6.12,6.18,6.18
AvgOutdegreeCentralization,2.0,0.43,0.06,0.38,0.4,0.43,0.45,0.47,0.42
AvgClosenessCentralization,2.0,0.37,0.02,0.35,0.36,0.37,0.38,0.39,0.37
