,count,mean,std,min,25%,50%,75%,max,corpus wise
AvgFan,2.0,2.13,0.05,2.09,2.11,2.13,2.15,2.17,2.13
MaxFan,2.0,7.0,2.83,5.0,6.0,7.0,8.0,9.0,9.0
AvgMaxDepth,2.0,3.33,0.7,2.83,3.08,3.33,3.57,3.82,3.21
AvgDepDist,2.0,1.51,0.42,1.21,1.36,1.51,1.66,1.81,1.44
MaxDepDist,2.0,3.42,0.16,3.31,3.37,3.42,3.48,3.53,3.53
AvgOutdegreeCentralization,2.0,0.67,0.12,0.58,0.63,0.67,0.71,0.76,0.65
AvgClosenessCentralization,2.0,0.46,0.02,0.45,0.45,0.46,0.47,0.47,0.46
