document,AvgFan,MaxFan,AvgMaxDepth,AvgDepDist,MaxDepDist,AvgOutdegreeCentralization,AvgClosenessCentralization
Koronarthrombose.txt,2.2631578,8.0,3.142857,1.2871951,3.8965516,0.41024306,0.4361013
Olfaktorischer Neglect.txt,2.3658535,8.0,3.3636363,1.970753,4.5333333,0.6620344,0.41465127
