,count,mean,std,min,25%,50%,75%,max,corpus wise
AvgFan,2.0,2.03,0.19,1.9,1.96,2.03,2.1,2.16,2.01
MaxFan,2.0,11.5,3.54,9.0,10.25,11.5,12.75,14.0,14.0
AvgMaxDepth,2.0,4.36,0.6,3.94,4.15,4.36,4.57,4.78,4.4
AvgDepDist,2.0,2.26,0.05,2.22,2.24,2.26,2.28,2.3,2.26
MaxDepDist,2.0,6.82,1.63,5.67,6.24,6.82,7.4,7.97,7.97
AvgOutdegreeCentralization,2.0,0.46,0.08,0.4,0.43,0.46,0.49,0.52,0.45
AvgClosenessCentralization,2.0,0.37,0.03,0.35,0.36,0.37,0.38,0.39,0.37
