,max (document wise),mean (document wise),min (document wise)
w7303_5756-v,0.0006896552,0.0006896552,0.0006896552
w1520_319-v,0.0006896552,0.0006896552,0.0006896552
w1520_13080-v,0.0006896552,0.0006896552,0.0006896552
w1520_35963-v,0.0006896552,0.0006896552,0.0006896552
w14056_3043-n,0.0006896552,0.0006896552,0.0006896552
w14056_8304-n,0.0006896552,0.0006896552,0.0006896552
w14056_9561-n,0.0006896552,0.0006896552,0.0006896552
w34709_8528-v,0.0006896552,0.0006896552,0.0006896552
w89721_25951-n,0.0006896552,0.0006896552,0.0006896552
w8241_1679-a,0.0006896552,0.0006896552,0.0006896552
w8241_7256-a,0.0006896552,0.0006896552,0.0006896552
w8241_13176-a,0.0006896552,0.0006896552,0.0006896552
w8241_30544-a,0.0006896552,0.0006896552,0.0006896552
w8241_33195-a,0.0006896552,0.0006896552,0.0006896552
w18712_4236-a,0.0006896552,0.0006896552,0.0006896552
w18712_9327-a,0.0006896552,0.0006896552,0.0006896552
w1202456_997-a,0.0006896552,0.0006896552,0.0006896552
w11350_2372-n,0.0006896552,0.0006896552,0.0006896552
w11350_16262-n,0.0006896552,0.0006896552,0.0006896552
w11350_27881-n,0.0006896552,0.0006896552,0.0006896552
w11350_34920-n,0.0006896552,0.0006896552,0.0006896552
w6135_1231-a,0.0006896552,0.0006896552,0.0006896552
w6135_11002-a,0.0006896552,0.0006896552,0.0006896552
w11373_2375-v,0.0006896552,0.0006896552,0.0006896552
w11373_10226-v,0.0006896552,0.0006896552,0.0006896552
w11373_27623-v,0.0006896552,0.0006896552,0.0006896552
w13045_2799-a,0.0006896552,0.0006896552,0.0006896552
w13045_3496-a,0.0006896552,0.0006896552,0.0006896552
w13045_25081-a,0.0006896552,0.0006896552,0.0006896552
w13045_25089-a,0.0006896552,0.0006896552,0.0006896552
w10019_2063-a,0.0006896552,0.0006896552,0.0006896552
w10019_6168-a,0.0006896552,0.0006896552,0.0006896552
w10019_10035-a,0.0006896552,0.0006896552,0.0006896552
w992_214-n,0.0013793104,0.0013793104,0.0013793104
w992_2801-n,0.0013793104,0.0013793104,0.0013793104
w3965_799-a,0.0013793104,0.0013793104,0.0013793104
w3965_6546-a,0.0013793104,0.0013793104,0.0013793104
w3965_997-a,0.0013793104,0.0013793104,0.0013793104
w3965_8315-a,0.0013793104,0.0013793104,0.0013793104
w3965_15031-a,0.0013793104,0.0013793104,0.0013793104
w3965_19468-a,0.0013793104,0.0013793104,0.0013793104
w3965_20031-a,0.0013793104,0.0013793104,0.0013793104
w37435_9320-n,0.0013793104,0.0013793104,0.0013793104
w115910_34730-a,0.0013793104,0.0013793104,0.0013793104
w43612_10913-n,0.0006896552,0.0006896552,0.0006896552
w19827_4491-n,0.0006896552,0.0006896552,0.0006896552
w19827_5772-n,0.0006896552,0.0006896552,0.0006896552
w19827_7127-n,0.0006896552,0.0006896552,0.0006896552
w43294_10825-a,0.0017636684,0.0015714894,0.0013793104
w43294_11398-a,0.0017636684,0.0015714894,0.0013793104
w109588_32550-n,0.0017636684,0.0015714894,0.0013793104
w9325_1913-n,0.0006896552,0.0006896552,0.0006896552
w9325_26239-n,0.0006896552,0.0006896552,0.0006896552
w80156_22847-n,0.0026455026,0.0016675789,0.0006896552
w29218_6979-v,0.0006896552,0.0006896552,0.0006896552
w29218_7630-v,0.0006896552,0.0006896552,0.0006896552
w29218_32121-v,0.0006896552,0.0006896552,0.0006896552
w35542_8770-n,0.0006896552,0.0006896552,0.0006896552
w11103_2317-a,0.0006896552,0.0006896552,0.0006896552
w11103_3702-a,0.0006896552,0.0006896552,0.0006896552
w11103_4077-a,0.0006896552,0.0006896552,0.0006896552
w11103_1979-a,0.0006896552,0.0006896552,0.0006896552
w11103_4934-a,0.0006896552,0.0006896552,0.0006896552
w11103_9051-a,0.0006896552,0.0006896552,0.0006896552
w11103_9704-a,0.0006896552,0.0006896552,0.0006896552
w11103_20415-a,0.0006896552,0.0006896552,0.0006896552
w11103_26782-a,0.0006896552,0.0006896552,0.0006896552
w11103_32801-a,0.0006896552,0.0006896552,0.0006896552
w4887_984-n,0.0006896552,0.0006896552,0.0006896552
w4887_8852-n,0.0006896552,0.0006896552,0.0006896552
w55992_14809-v,0.0006896552,0.0006896552,0.0006896552
w55992_28625-v,0.0006896552,0.0006896552,0.0006896552
w44021_11042-n,0.0006896552,0.0006896552,0.0006896552
w29795_7133-n,0.0013793104,0.0011305723,0.0008818342
w2339_476-v,0.0006896552,0.0006896552,0.0006896552
w2339_6586-v,0.0006896552,0.0006896552,0.0006896552
w2339_9699-v,0.0006896552,0.0006896552,0.0006896552
w2339_32609-v,0.0006896552,0.0006896552,0.0006896552
w43036_10746-a,0.0006896552,0.0006896552,0.0006896552
w3592_726-a,0.0006896552,0.0006896552,0.0006896552
w3592_10168-a,0.0006896552,0.0006896552,0.0006896552
w3592_15583-a,0.0006896552,0.0006896552,0.0006896552
w3592_31294-a,0.0006896552,0.0006896552,0.0006896552
w3592_35557-a,0.0006896552,0.0006896552,0.0006896552
w14942_3262-v,0.0013793104,0.0013793104,0.0013793104
w14942_10015-v,0.0013793104,0.0013793104,0.0013793104
w14942_22161-v,0.0013793104,0.0013793104,0.0013793104
w28950_6924-a,0.0006896552,0.0006896552,0.0006896552
w28950_18462-a,0.0006896552,0.0006896552,0.0006896552
w28950_27562-a,0.0006896552,0.0006896552,0.0006896552
w30449_7299-v,0.0006896552,0.0006896552,0.0006896552
w30449_8655-v,0.0006896552,0.0006896552,0.0006896552
w30449_6055-v,0.0006896552,0.0006896552,0.0006896552
w30449_18487-v,0.0006896552,0.0006896552,0.0006896552
w34052_8351-n,0.0006896552,0.0006896552,0.0006896552
w34052_13544-n,0.0006896552,0.0006896552,0.0006896552
w120208_36183-a,0.0013793104,0.0013793104,0.0013793104
w12229_2598-n,0.0013793104,0.0011305723,0.0008818342
w12618_2693-n,0.0006896552,0.0006896552,0.0006896552
w12618_11047-n,0.0006896552,0.0006896552,0.0006896552
w1478_309-v,0.0006896552,0.0006896552,0.0006896552
w1478_9151-v,0.0006896552,0.0006896552,0.0006896552
w1478_18390-v,0.0006896552,0.0006896552,0.0006896552
w5629_1137-n,0.0006896552,0.0006896552,0.0006896552
w33969_8328-a,0.0008818342,0.0007857447,0.0006896552
w33969_9067-a,0.0008818342,0.0007857447,0.0006896552
w33969_9255-a,0.0008818342,0.0007857447,0.0006896552
w33969_10591-a,0.0008818342,0.0007857447,0.0006896552
w33969_24681-a,0.0008818342,0.0007857447,0.0006896552
w41571_10320-n,0.0006896552,0.0006896552,0.0006896552
w2814_550-n,0.0017636684,0.0012266617,0.0006896552
w2814_1135-n,0.0017636684,0.0012266617,0.0006896552
w2814_7426-n,0.0017636684,0.0012266617,0.0006896552
w2814_9340-n,0.0017636684,0.0012266617,0.0006896552
w2814_12765-n,0.0017636684,0.0012266617,0.0006896552
w2814_22860-n,0.0017636684,0.0012266617,0.0006896552
w40865_10171-n,0.0006896552,0.0006896552,0.0006896552
w17907_4035-n,0.0006896552,0.0006896552,0.0006896552
w17907_5340-n,0.0006896552,0.0006896552,0.0006896552
w17907_9453-n,0.0006896552,0.0006896552,0.0006896552
w17907_12204-n,0.0006896552,0.0006896552,0.0006896552
w17907_12207-n,0.0006896552,0.0006896552,0.0006896552
w111945_33374-a,0.0006896552,0.0006896552,0.0006896552
w72528_20361-n,0.0006896552,0.0006896552,0.0006896552
w73755_20724-n,0.0006896552,0.0006896552,0.0006896552
w33531_8198-v,0.0006896552,0.0006896552,0.0006896552
w53770_14009-a,0.0006896552,0.0006896552,0.0006896552
w23888_5542-n,0.0006896552,0.0006896552,0.0006896552
w23888_22680-n,0.0006896552,0.0006896552,0.0006896552
w22102_5094-n,0.0006896552,0.0006896552,0.0006896552
w19227_4347-n,0.0006896552,0.0006896552,0.0006896552
w19227_15879-n,0.0006896552,0.0006896552,0.0006896552
w13433_2888-n,0.0017636684,0.0012266617,0.0006896552
w44494_11177-n,0.0013793104,0.0013793104,0.0013793104
w44494_11345-n,0.0013793104,0.0013793104,0.0013793104
w37786_9398-a,0.0006896552,0.0006896552,0.0006896552
w8587_1754-a,0.0006896552,0.0006896552,0.0006896552
w8587_7627-a,0.0006896552,0.0006896552,0.0006896552
w8587_15592-a,0.0006896552,0.0006896552,0.0006896552
w6200_1250-v,0.0006896552,0.0006896552,0.0006896552
w6200_6337-v,0.0006896552,0.0006896552,0.0006896552
w6200_11916-v,0.0006896552,0.0006896552,0.0006896552
w6200_12745-v,0.0006896552,0.0006896552,0.0006896552
w5296_1069-v,0.0006896552,0.0006896552,0.0006896552
w5296_5485-v,0.0006896552,0.0006896552,0.0006896552
w5296_8389-v,0.0006896552,0.0006896552,0.0006896552
w5296_1407-v,0.0006896552,0.0006896552,0.0006896552
w36467_9018-a,0.0006896552,0.0006896552,0.0006896552
w40895_10177-a,0.0006896552,0.0006896552,0.0006896552
w40895_11320-a,0.0006896552,0.0006896552,0.0006896552
w40895_12579-a,0.0006896552,0.0006896552,0.0006896552
w40895_15172-a,0.0006896552,0.0006896552,0.0006896552
w40895_15179-a,0.0006896552,0.0006896552,0.0006896552
w20935_4761-n,0.0006896552,0.0006896552,0.0006896552
w20935_6695-n,0.0006896552,0.0006896552,0.0006896552
w20935_9912-n,0.0006896552,0.0006896552,0.0006896552
w20935_11075-n,0.0006896552,0.0006896552,0.0006896552
w58839_15756-v,0.0006896552,0.0006896552,0.0006896552
w21376_4889-n,0.0006896552,0.0006896552,0.0006896552
w21376_13544-n,0.0006896552,0.0006896552,0.0006896552
w10122_2096-a,0.0006896552,0.0006896552,0.0006896552
w10122_7698-a,0.0006896552,0.0006896552,0.0006896552
w10122_8008-a,0.0006896552,0.0006896552,0.0006896552
w10122_11371-a,0.0006896552,0.0006896552,0.0006896552
w105181_31013-v,0.0006896552,0.0006896552,0.0006896552
w109369_32470-n,0.0006896552,0.0006896552,0.0006896552
w6284_1265-a,0.0006896552,0.0006896552,0.0006896552
w6284_3658-a,0.0006896552,0.0006896552,0.0006896552
w6284_6618-a,0.0006896552,0.0006896552,0.0006896552
w6284_7806-a,0.0006896552,0.0006896552,0.0006896552
w6284_10676-a,0.0006896552,0.0006896552,0.0006896552
w109371_32471-n,0.0006896552,0.0006896552,0.0006896552
w34701_8526-a,0.0006896552,0.0006896552,0.0006896552
w23666_5468-a,0.0006896552,0.0006896552,0.0006896552
w23666_5549-a,0.0006896552,0.0006896552,0.0006896552
w23666_6540-a,0.0006896552,0.0006896552,0.0006896552
w23666_25555-a,0.0006896552,0.0006896552,0.0006896552
w39356_9822-n,0.0006896552,0.0006896552,0.0006896552
w238_52-v,0.0006896552,0.0006896552,0.0006896552
w238_6712-v,0.0006896552,0.0006896552,0.0006896552
w238_7263-v,0.0006896552,0.0006896552,0.0006896552
w238_15947-v,0.0006896552,0.0006896552,0.0006896552
w238_28808-v,0.0006896552,0.0006896552,0.0006896552
w118256_35478-v,0.0006896552,0.0006896552,0.0006896552
w22205_5117-a,0.0008818342,0.0007857447,0.0006896552
w49349_12618-v,0.0006896552,0.0006896552,0.0006896552
w49349_13346-v,0.0006896552,0.0006896552,0.0006896552
w49349_14249-v,0.0006896552,0.0006896552,0.0006896552
w49349_34684-v,0.0006896552,0.0006896552,0.0006896552
w8443_1726-a,0.0006896552,0.0006896552,0.0006896552
w8443_10944-a,0.0006896552,0.0006896552,0.0006896552
w21780_4999-n,0.0006896552,0.0006896552,0.0006896552
w21780_8645-n,0.0006896552,0.0006896552,0.0006896552
w34902_8594-a,0.0006896552,0.0006896552,0.0006896552
w34902_31395-a,0.0006896552,0.0006896552,0.0006896552
w58452_15624-a,0.0006896552,0.0006896552,0.0006896552
w58452_34894-a,0.0006896552,0.0006896552,0.0006896552
w58452_34896-a,0.0006896552,0.0006896552,0.0006896552
w33408_8175-a,0.0006896552,0.0006896552,0.0006896552
w34657_8511-a,0.0013793104,0.0013793104,0.0013793104
w10478_4686-v,0.0006896552,0.0006896552,0.0006896552
w10478_8522-v,0.0006896552,0.0006896552,0.0006896552
w94745_27489-v,0.0006896552,0.0006896552,0.0006896552
w120209_36183-a,0.0006896552,0.0006896552,0.0006896552
w37354_9296-n,0.0006896552,0.0006896552,0.0006896552
w37354_9910-n,0.0006896552,0.0006896552,0.0006896552
w16396_3630-n,0.0006896552,0.0006896552,0.0006896552
w16396_4160-n,0.0006896552,0.0006896552,0.0006896552
w16396_6207-n,0.0006896552,0.0006896552,0.0006896552
w16396_6917-n,0.0006896552,0.0006896552,0.0006896552
w16396_6965-n,0.0006896552,0.0006896552,0.0006896552
w16396_24904-n,0.0006896552,0.0006896552,0.0006896552
w33556_8203-n,0.0006896552,0.0006896552,0.0006896552
w33556_9784-n,0.0006896552,0.0006896552,0.0006896552
w33556_11420-n,0.0006896552,0.0006896552,0.0006896552
w33556_19087-n,0.0006896552,0.0006896552,0.0006896552
w54165_14141-a,0.0006896552,0.0006896552,0.0006896552
w723_146-n,0.0006896552,0.0006896552,0.0006896552
w723_4376-n,0.0006896552,0.0006896552,0.0006896552
w1202389_362233-n,0.0006896552,0.0006896552,0.0006896552
w10612_2196-v,0.0006896552,0.0006896552,0.0006896552
w10612_3569-v,0.0006896552,0.0006896552,0.0006896552
w46697_11831-n,0.0006896552,0.0006896552,0.0006896552
w46709_11835-n,0.0006896552,0.0006896552,0.0006896552
w18969_4290-v,0.0006896552,0.0006896552,0.0006896552
w35139_8655-v,0.0006896552,0.0006896552,0.0006896552
w15576_3403-a,0.0008818342,0.0007857447,0.0006896552
w15576_6898-a,0.0008818342,0.0007857447,0.0006896552
w15576_8081-a,0.0008818342,0.0007857447,0.0006896552
w15576_18435-a,0.0008818342,0.0007857447,0.0006896552
w15576_11936-a,0.0008818342,0.0007857447,0.0006896552
w35226_8677-a,0.0008818342,0.0007857447,0.0006896552
w35226_10356-a,0.0008818342,0.0007857447,0.0006896552
w117508_35239-n,0.0008818342,0.0007857447,0.0006896552
w788_162-a,0.0008818342,0.0008818342,0.0008818342
w788_8333-a,0.0008818342,0.0008818342,0.0008818342
w788_34563-a,0.0008818342,0.0008818342,0.0008818342
w12254_2603-a,0.0008818342,0.0008818342,0.0008818342
w12254_10309-a,0.0008818342,0.0008818342,0.0008818342
w12254_14078-a,0.0008818342,0.0008818342,0.0008818342
w12254_31505-a,0.0008818342,0.0008818342,0.0008818342
w23012_5317-n,0.0035273368,0.0035273368,0.0035273368
w73746_20720-n,0.0035273368,0.0035273368,0.0035273368
w43226_10795-n,0.0008818342,0.0008818342,0.0008818342
w25878_6049-n,0.0008818342,0.0008818342,0.0008818342
w25878_9492-n,0.0008818342,0.0008818342,0.0008818342
w9712_1989-a,0.0008818342,0.0008818342,0.0008818342
w9013_1860-n,0.0017636684,0.0017636684,0.0017636684
w8034_1625-a,0.0017636684,0.0017636684,0.0017636684
w8034_8559-a,0.0017636684,0.0017636684,0.0017636684
w8034_26351-a,0.0017636684,0.0017636684,0.0017636684
w8034_32289-a,0.0017636684,0.0017636684,0.0017636684
w8034_7152-a,0.0017636684,0.0017636684,0.0017636684
w26391_6198-n,0.0017636684,0.0017636684,0.0017636684
w26391_31769-n,0.0017636684,0.0017636684,0.0017636684
w37134_9236-a,0.0017636684,0.0017636684,0.0017636684
w21719_4982-n,0.0026455026,0.0026455026,0.0026455026
w47612_12139-n,0.0035273368,0.0035273368,0.0035273368
w27267_6434-a,0.0008818342,0.0008818342,0.0008818342
w27267_9111-a,0.0008818342,0.0008818342,0.0008818342
w262_58-a,0.0017636684,0.0017636684,0.0017636684
w262_8501-a,0.0017636684,0.0017636684,0.0017636684
w262_9998-a,0.0017636684,0.0017636684,0.0017636684
w262_18392-a,0.0017636684,0.0017636684,0.0017636684
w21589_4941-n,0.0017636684,0.0017636684,0.0017636684
w113141_33810-a,0.0017636684,0.0017636684,0.0017636684
w22657_5228-n,0.0008818342,0.0008818342,0.0008818342
w22657_6732-n,0.0008818342,0.0008818342,0.0008818342
w22657_7367-n,0.0008818342,0.0008818342,0.0008818342
w22657_11026-n,0.0008818342,0.0008818342,0.0008818342
w22657_11049-n,0.0008818342,0.0008818342,0.0008818342
w22657_13555-n,0.0008818342,0.0008818342,0.0008818342
w281_61-n,0.0008818342,0.0008818342,0.0008818342
w16950_3782-n,0.0008818342,0.0008818342,0.0008818342
w61940_16803-n,0.0008818342,0.0008818342,0.0008818342
w120190_36175-a,0.0008818342,0.0008818342,0.0008818342
w32246_7813-n,0.0008818342,0.0008818342,0.0008818342
w20035_4535-n,0.0008818342,0.0008818342,0.0008818342
w11346_2370-n,0.0008818342,0.0008818342,0.0008818342
w11346_4202-n,0.0008818342,0.0008818342,0.0008818342
w11346_11054-n,0.0008818342,0.0008818342,0.0008818342
w101504_29757-n,0.0008818342,0.0008818342,0.0008818342
w2779_544-n,0.0008818342,0.0008818342,0.0008818342
w2779_30447-n,0.0008818342,0.0008818342,0.0008818342
w14023_3033-n,0.0017636684,0.0017636684,0.0017636684
w120229_36192-a,0.0008818342,0.0008818342,0.0008818342
w105720_31194-n,0.0008818342,0.0008818342,0.0008818342
w29740_7121-a,0.0008818342,0.0008818342,0.0008818342
w29740_25607-a,0.0008818342,0.0008818342,0.0008818342
w29740_29216-a,0.0008818342,0.0008818342,0.0008818342
w79605_22662-n,0.0026455026,0.0026455026,0.0026455026
w16792_3733-a,0.0026455026,0.0026455026,0.0026455026
w16792_5015-a,0.0026455026,0.0026455026,0.0026455026
w16792_12271-a,0.0026455026,0.0026455026,0.0026455026
w16792_26985-a,0.0026455026,0.0026455026,0.0026455026
w1171_256-n,0.0026455026,0.0026455026,0.0026455026
w1171_27908-n,0.0026455026,0.0026455026,0.0026455026
w88089_25468-n,0.0026455026,0.0026455026,0.0026455026
w86647_25013-n,0.0008818342,0.0008818342,0.0008818342
w12721_2722-n,0.0017636684,0.0017636684,0.0017636684
w12721_3967-n,0.0017636684,0.0017636684,0.0017636684
w12721_6484-n,0.0017636684,0.0017636684,0.0017636684
w120222_36188-a,0.0026455026,0.0026455026,0.0026455026
w32267_7820-a,0.0008818342,0.0008818342,0.0008818342
w32267_10090-a,0.0008818342,0.0008818342,0.0008818342
w32267_26978-a,0.0008818342,0.0008818342,0.0008818342
w7745_1566-a,0.0008818342,0.0008818342,0.0008818342
w7745_6616-a,0.0008818342,0.0008818342,0.0008818342
w7745_7762-a,0.0008818342,0.0008818342,0.0008818342
w7745_9740-a,0.0008818342,0.0008818342,0.0008818342
w7745_12048-a,0.0008818342,0.0008818342,0.0008818342
w7745_14128-a,0.0008818342,0.0008818342,0.0008818342
w7745_15601-a,0.0008818342,0.0008818342,0.0008818342
w558_126-n,0.0008818342,0.0008818342,0.0008818342
w558_7966-n,0.0008818342,0.0008818342,0.0008818342
w46431_11752-n,0.0008818342,0.0008818342,0.0008818342
w46431_14846-n,0.0008818342,0.0008818342,0.0008818342
w9465_1938-a,0.0008818342,0.0008818342,0.0008818342
w9465_3567-a,0.0008818342,0.0008818342,0.0008818342
w35204_8670-n,0.0008818342,0.0008818342,0.0008818342
w35204_12855-n,0.0008818342,0.0008818342,0.0008818342
w22620_5218-a,0.0008818342,0.0008818342,0.0008818342
w22620_29923-a,0.0008818342,0.0008818342,0.0008818342
w22620_30142-a,0.0008818342,0.0008818342,0.0008818342
w22620_31048-a,0.0008818342,0.0008818342,0.0008818342
w63902_17460-n,0.0008818342,0.0008818342,0.0008818342
w4678_944-a,0.0008818342,0.0008818342,0.0008818342
w4678_997-a,0.0008818342,0.0008818342,0.0008818342
w4678_1003-a,0.0008818342,0.0008818342,0.0008818342
w4678_1530-a,0.0008818342,0.0008818342,0.0008818342
w4678_5015-a,0.0008818342,0.0008818342,0.0008818342
w4678_6603-a,0.0008818342,0.0008818342,0.0008818342
w4678_20440-a,0.0008818342,0.0008818342,0.0008818342
w4678_26183-a,0.0008818342,0.0008818342,0.0008818342
w4678_28177-a,0.0008818342,0.0008818342,0.0008818342
w4678_30544-a,0.0008818342,0.0008818342,0.0008818342
w4678_3454-a,0.0008818342,0.0008818342,0.0008818342
w42687_10646-v,0.0008818342,0.0008818342,0.0008818342
w42687_16994-v,0.0008818342,0.0008818342,0.0008818342
w61753_16732-v,0.0008818342,0.0008818342,0.0008818342
w12625_2695-n,0.0008818342,0.0008818342,0.0008818342
w12625_26476-n,0.0008818342,0.0008818342,0.0008818342
w1202552_362337-n,0.0008818342,0.0008818342,0.0008818342
w4189_845-a,0.0026455026,0.0026455026,0.0026455026
w4189_4354-a,0.0026455026,0.0026455026,0.0026455026
w4189_6742-a,0.0026455026,0.0026455026,0.0026455026
w4189_9025-a,0.0026455026,0.0026455026,0.0026455026
w4189_9781-a,0.0026455026,0.0026455026,0.0026455026
w4189_24456-a,0.0026455026,0.0026455026,0.0026455026
w4189_28436-a,0.0026455026,0.0026455026,0.0026455026
w70736_19843-a,0.0008818342,0.0008818342,0.0008818342
w70736_34369-a,0.0008818342,0.0008818342,0.0008818342
w22824_5279-n,0.0008818342,0.0008818342,0.0008818342
w22824_7266-n,0.0008818342,0.0008818342,0.0008818342
w22824_13085-n,0.0008818342,0.0008818342,0.0008818342
w28709_6855-n,0.0008818342,0.0008818342,0.0008818342
w28709_13987-n,0.0008818342,0.0008818342,0.0008818342
w43890_10998-a,0.0008818342,0.0008818342,0.0008818342
w43890_27698-a,0.0008818342,0.0008818342,0.0008818342
w33418_8178-a,0.0008818342,0.0008818342,0.0008818342
w33418_9044-a,0.0008818342,0.0008818342,0.0008818342
w33418_21356-a,0.0008818342,0.0008818342,0.0008818342
w24684_5752-n,0.0008818342,0.0008818342,0.0008818342
w24684_8752-n,0.0008818342,0.0008818342,0.0008818342
w24684_15744-n,0.0008818342,0.0008818342,0.0008818342
w24684_20079-n,0.0008818342,0.0008818342,0.0008818342
w16177_3563-a,0.0008818342,0.0008818342,0.0008818342
w16177_31831-a,0.0008818342,0.0008818342,0.0008818342
w97643_28458-n,0.0008818342,0.0008818342,0.0008818342
w41147_10230-v,0.0008818342,0.0008818342,0.0008818342
w11094_2317-a,0.0008818342,0.0008818342,0.0008818342
w29579_7074-n,0.0008818342,0.0008818342,0.0008818342
w29579_24012-n,0.0008818342,0.0008818342,0.0008818342
w29579_34246-n,0.0008818342,0.0008818342,0.0008818342
w12775_2739-v,0.0008818342,0.0008818342,0.0008818342
w12775_4396-v,0.0008818342,0.0008818342,0.0008818342
w12775_7158-v,0.0008818342,0.0008818342,0.0008818342
w12775_9108-v,0.0008818342,0.0008818342,0.0008818342
w12775_13988-v,0.0008818342,0.0008818342,0.0008818342
w12775_17885-v,0.0008818342,0.0008818342,0.0008818342
w12775_18246-v,0.0008818342,0.0008818342,0.0008818342
w12775_28307-v,0.0008818342,0.0008818342,0.0008818342
w13584_2929-a,0.0008818342,0.0008818342,0.0008818342
w13584_6238-a,0.0008818342,0.0008818342,0.0008818342
w13584_7489-a,0.0008818342,0.0008818342,0.0008818342
w13584_9331-a,0.0008818342,0.0008818342,0.0008818342
w13584_11428-a,0.0008818342,0.0008818342,0.0008818342
w13584_27355-a,0.0008818342,0.0008818342,0.0008818342
w17706_3982-n,0.0008818342,0.0008818342,0.0008818342
w45210_11394-v,0.0008818342,0.0008818342,0.0008818342
w49716_12712-n,0.0008818342,0.0008818342,0.0008818342
w53157_13788-n,0.0017636684,0.0017636684,0.0017636684
w79723_22698-n,0.0017636684,0.0017636684,0.0017636684
w11393_2380-a,0.0008818342,0.0008818342,0.0008818342
w11393_2771-a,0.0008818342,0.0008818342,0.0008818342
w11393_3907-a,0.0008818342,0.0008818342,0.0008818342
w11393_4212-a,0.0008818342,0.0008818342,0.0008818342
w11393_9264-a,0.0008818342,0.0008818342,0.0008818342
w22394_5160-n,0.0017636684,0.0017636684,0.0017636684
w22394_12130-n,0.0017636684,0.0017636684,0.0017636684
w117010_35077-n,0.0026455026,0.0026455026,0.0026455026
w8068_1634-a,0.0017636684,0.0017636684,0.0017636684
w8068_2616-a,0.0017636684,0.0017636684,0.0017636684
w8068_3621-a,0.0017636684,0.0017636684,0.0017636684
w8068_4939-a,0.0017636684,0.0017636684,0.0017636684
w8068_5349-a,0.0017636684,0.0017636684,0.0017636684
w8068_11228-a,0.0017636684,0.0017636684,0.0017636684
w18856_4261-a,0.0008818342,0.0008818342,0.0008818342
w18856_27218-a,0.0008818342,0.0008818342,0.0008818342
w94412_27392-a,0.0008818342,0.0008818342,0.0008818342
w22462_5178-n,0.0017636684,0.0017636684,0.0017636684
w1591_329-a,0.0008818342,0.0008818342,0.0008818342
w1591_1104-a,0.0008818342,0.0008818342,0.0008818342
w1591_6429-a,0.0008818342,0.0008818342,0.0008818342
w1591_11708-a,0.0008818342,0.0008818342,0.0008818342
w112556_33604-a,0.0008818342,0.0008818342,0.0008818342
w18485_4175-n,0.0017636684,0.0017636684,0.0017636684
w26255_6148-a,0.0008818342,0.0008818342,0.0008818342
w26255_10189-a,0.0008818342,0.0008818342,0.0008818342
w1235_271-n,0.0008818342,0.0008818342,0.0008818342
w1235_6161-n,0.0008818342,0.0008818342,0.0008818342
w38912_9708-n,0.0017636684,0.0017636684,0.0017636684
w38912_18475-n,0.0017636684,0.0017636684,0.0017636684
w9776_2005-n,0.0017636684,0.0017636684,0.0017636684
w9776_5522-n,0.0017636684,0.0017636684,0.0017636684
w9776_10112-n,0.0017636684,0.0017636684,0.0017636684
w4384_888-v,0.0008818342,0.0008818342,0.0008818342
w4384_29647-v,0.0008818342,0.0008818342,0.0008818342
w15414_3372-n,0.0008818342,0.0008818342,0.0008818342
w15414_13459-n,0.0008818342,0.0008818342,0.0008818342
w15414_19927-n,0.0008818342,0.0008818342,0.0008818342
w5044_1010-a,0.0008818342,0.0008818342,0.0008818342
w5044_1201-a,0.0008818342,0.0008818342,0.0008818342
w5044_9353-a,0.0008818342,0.0008818342,0.0008818342
w5044_12866-a,0.0008818342,0.0008818342,0.0008818342
w5044_15160-a,0.0008818342,0.0008818342,0.0008818342
w5044_27144-a,0.0008818342,0.0008818342,0.0008818342
w42512_10590-a,0.0008818342,0.0008818342,0.0008818342
w21296_4867-n,0.0008818342,0.0008818342,0.0008818342
w21296_8811-n,0.0008818342,0.0008818342,0.0008818342
w21296_16725-n,0.0008818342,0.0008818342,0.0008818342
w21296_18475-n,0.0008818342,0.0008818342,0.0008818342
w21296_18676-n,0.0008818342,0.0008818342,0.0008818342
w120196_36178-a,0.0008818342,0.0008818342,0.0008818342
w22994_5312-n,0.0008818342,0.0008818342,0.0008818342
w5823_1172-n,0.0008818342,0.0008818342,0.0008818342
w5823_4423-n,0.0008818342,0.0008818342,0.0008818342
w5823_6157-n,0.0008818342,0.0008818342,0.0008818342
w5823_8816-n,0.0008818342,0.0008818342,0.0008818342
w5823_10138-n,0.0008818342,0.0008818342,0.0008818342
w68772_19146-v,0.0008818342,0.0008818342,0.0008818342
w111044_33056-a,0.0008818342,0.0008818342,0.0008818342
w14349_3113-v,0.0008818342,0.0008818342,0.0008818342
w14349_10593-v,0.0008818342,0.0008818342,0.0008818342
w4755_962-v,0.0008818342,0.0008818342,0.0008818342
w4755_6235-v,0.0008818342,0.0008818342,0.0008818342
w4755_1347-v,0.0008818342,0.0008818342,0.0008818342
w21906_5030-n,0.0008818342,0.0008818342,0.0008818342
w5456_1104-a,0.0008818342,0.0008818342,0.0008818342
w5456_5079-a,0.0008818342,0.0008818342,0.0008818342
w36341_8986-n,0.0008818342,0.0008818342,0.0008818342
w36341_20724-n,0.0008818342,0.0008818342,0.0008818342
w36341_26461-n,0.0008818342,0.0008818342,0.0008818342
w61616_16685-n,0.0008818342,0.0008818342,0.0008818342
w14890_3249-n,0.0008818342,0.0008818342,0.0008818342
w14890_6732-n,0.0008818342,0.0008818342,0.0008818342
w14890_7367-n,0.0008818342,0.0008818342,0.0008818342
