,max (document wise),mean (document wise),min (document wise)
w21275_4860-v,0.0006896552,0.0006896552,0.0006896552
w21275_6632-v,0.0006896552,0.0006896552,0.0006896552
w21275_9915-v,0.0006896552,0.0006896552,0.0006896552
w96455_28055-v,0.0006896552,0.0006896552,0.0006896552
w19876_4502-n,0.0020689655,0.0020689655,0.0020689655
w19876_4634-n,0.0020689655,0.0020689655,0.0020689655
w19876_6630-n,0.0020689655,0.0020689655,0.0020689655
w19876_7111-n,0.0020689655,0.0020689655,0.0020689655
w19876_7337-n,0.0020689655,0.0020689655,0.0020689655
w19876_12534-n,0.0020689655,0.0020689655,0.0020689655
w19876_13847-n,0.0020689655,0.0020689655,0.0020689655
w19876_17637-n,0.0020689655,0.0020689655,0.0020689655
w2722_533-v,0.0027586208,0.0027586208,0.0027586208
w2722_3065-v,0.0027586208,0.0027586208,0.0027586208
w2722_4206-v,0.0027586208,0.0027586208,0.0027586208
w2722_5328-v,0.0027586208,0.0027586208,0.0027586208
w2722_9990-v,0.0027586208,0.0027586208,0.0027586208
w2722_10538-v,0.0027586208,0.0027586208,0.0027586208
w73288_20571-a,0.0006896552,0.0006896552,0.0006896552
w73288_21356-a,0.0006896552,0.0006896552,0.0006896552
w12955_2775-a,0.0006896552,0.0006896552,0.0006896552
w12955_9352-a,0.0006896552,0.0006896552,0.0006896552
w12955_10003-a,0.0006896552,0.0006896552,0.0006896552
w12955_25178-a,0.0006896552,0.0006896552,0.0006896552
w81497_23246-n,0.0006896552,0.0006896552,0.0006896552
w11087_2315-n,0.0006896552,0.0006896552,0.0006896552
w21325_4875-a,0.0013793104,0.0013793104,0.0013793104
w21325_8814-a,0.0013793104,0.0013793104,0.0013793104
w18667_4224-v,0.0006896552,0.0006896552,0.0006896552
w18667_10540-v,0.0006896552,0.0006896552,0.0006896552
w18667_26947-v,0.0006896552,0.0006896552,0.0006896552
w14722_3211-n,0.0006896552,0.0006896552,0.0006896552
