corpus,ari,avg_sent_len_chars,avg_sent_len_tokens,avg_token_len_chars,coleman_liau,flesch_kincaid_grade_level,flesch_reading_ease,forcast,gunning_fog,heylighen_formality,smog,wiener_sachtextformel_1,wiener_sachtextformel_2,wiener_sachtextformel_3,wiener_sachtextformel_4
gra,11.528516459884202,69.23504273504274,11.88888888888889,5.132638389647735,15.891406451612902,10.062978494623655,71.4910714849535,15.72777777777778,15.828122415219193,78.38541666666667,22.476751802128604,1.1937664413484694,-0.6981005761953902,1.2149909571723423,1.3526550151590504
gra,11.79705422842197,72.990990990991,12.531531531531533,5.132638389647735,16.044180645161287,10.272437954083117,71.4910714849535,15.72777777777778,16.042952630049406,78.38676318510858,22.992779730413307,1.3015504653724932,-0.590008083702898,1.3374143805957657,1.437912299050496
wiki,11.5369286287089,34.827586206896555,7.172413793103448,4.456730769230769,15.925271317829456,6.90916867147822,76.48985759655774,0.0,13.87233360064154,93.66197183098592,0.0,0.390049387976169,-1.5045251308900525,0.3046893302040079,0.6669910318365626
wiki,11.89279069767442,40.44,8.32,4.456730769230769,16.843100775193793,7.186741085271322,76.48985759655774,0.0,14.157023255813954,94.4055944055944,0.0,0.5825225465968589,-1.3115011308900524,0.5233045026178011,0.8066829290286911
