corpus,sem_depth_max,sem_depth_min,sem_rich_antonyms,sem_rich_holonyms,sem_rich_hyponyms,sem_rich_meronyms,sem_rich_synonyms,sem_rich_taxonyms,senses_avg,synsets_avg
gra,0.0003436540836224,0.0003171243909101,0.0003584702685268,2.6492212802308527e-05,0.0020404261724855,1.1270758219265387e-05,0.0034916930407304,0.000860552327404,0.0003498336216922,0.0003498336216922
gra,0.0003391075397135,0.0003111762385962,0.0003772399596391,2.6492212802308527e-05,0.0020132293019378,1.1270758219265387e-05,0.0035006977853317,0.0008559849966739,0.0003456334473024,0.0003456334473024
wiki,0.0029675934284166,0.0029675934284166,0.0004318022345765,0.0008773853915332,0.0611097776792697,0.0001113957892391,0.0145922741852316,0.0032327747083325,0.0024564494142533,0.0024564494142533
wiki,0.0027268760907504,0.0027268760907504,0.0004318022345765,0.0008773853915332,0.06137965407588,0.0001113957892391,0.0171291123133689,0.0032327747083325,0.0026723505315416,0.0026723505315416
