,count,mean,std,min,25%,50%,75%,max,corpus wise
valence,2.0,4.52,0.23,4.36,4.44,4.52,4.61,4.69,4.58
arousal,2.0,3.96,0.09,3.9,3.93,3.96,3.99,4.03,3.94
dominance,2.0,4.82,0.15,4.71,4.76,4.82,4.87,4.93,4.86
joy,2.0,1.76,0.1,1.69,1.72,1.76,1.79,1.83,1.78
anger,2.0,1.64,0.12,1.55,1.6,1.64,1.69,1.73,1.61
sadness,2.0,1.6,0.13,1.5,1.55,1.6,1.65,1.69,1.56
fear,2.0,1.66,0.14,1.56,1.61,1.66,1.71,1.76,1.63
disgust,2.0,1.64,0.11,1.57,1.6,1.64,1.68,1.72,1.62
