,max (document wise),mean (document wise),min (document wise)
PER,0.025573192,0.024165906,0.02275862
MISC,0.040564373,0.027178738,0.013793103
ORG,0.01675485,0.011480873,0.0062068966
LOC,0.01724138,0.014793529,0.012345679
