,count,mean,std,min,25%,50%,75%,max,corpus wise
valence,2.0,4.9,0.02,4.89,4.89,4.9,4.91,4.91,4.9
arousal,2.0,3.94,0.01,3.94,3.94,3.94,3.95,3.95,3.94
dominance,2.0,5.12,0.03,5.1,5.11,5.12,5.13,5.14,5.12
joy,2.0,1.84,0.03,1.82,1.83,1.84,1.85,1.86,1.84
anger,2.0,1.55,0.0,1.55,1.55,1.55,1.56,1.56,1.55
sadness,2.0,1.5,0.01,1.5,1.5,1.5,1.5,1.51,1.5
fear,2.0,1.57,0.0,1.57,1.57,1.57,1.57,1.57,1.57
disgust,2.0,1.56,0.0,1.56,1.56,1.56,1.56,1.56,1.56
