,max (document wise),mean (document wise),min (document wise)
NP,0.14432989,0.10407984,0.06382979
PP,0.04255319,0.031585872,0.020618556
CNP,0.010638298,0.010638298,0.010638298
S,0.031914894,0.031421363,0.030927835
AP,0.020618556,0.020618556,0.020618556
VP,0.010309278,0.010309278,0.010309278
